method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
ewc,2,10,1.6175,1.4254,1.6623,3.8298,3
ewc,2,15,1.6764,1.6131,1.7895,3.8298,3
ewc,2,20,1.8481,1.8369,1.9461,3.8298,3
ewc,2,25,2.1825,1.9960,2.2363,3.8298,3
ewc,2,30,2.4858,2.0992,2.5088,3.8298,3
ewc,2,35,2.5023,2.0957,2.5405,3.8298,3
ewc,2,40,2.5514,2.1889,2.5647,3.8298,3
ewc,2,45,2.4769,2.1592,2.5278,3.8298,3
ewc,2,50,2.6368,2.5518,2.7158,3.8298,3
ewc,2,55,3.3243,3.0391,3.3268,3.8298,3
ewc,2,60,3.3154,3.0424,3.3611,3.8298,3
ewc,2,65,3.5835,3.2877,3.8278,3.8298,3
ewc,2,70,4.1038,3.4047,4.2615,3.8298,3
ewc,2,75,3.5629,3.0983,4.0207,3.8298,3
ewc,2,80,3.0373,2.8272,3.4162,3.8298,3
ewc,2,85,3.8151,3.2161,3.9985,3.8298,3
ewc,2,90,3.8344,3.2258,4.0745,3.8298,3
ewc,2,95,2.8235,2.7204,3.7294,3.8298,3
ewc,2,100,2.7602,2.6887,3.6977,3.8298,3
ewc,2,105,2.7690,2.6931,3.7022,3.8298,3
ewc,2,110,2.7690,2.6931,3.7022,3.8298,3
ewc,2,115,2.7690,2.6931,3.7022,3.8298,3
ewc,2,120,2.7690,2.6931,3.7022,3.8298,3
ewc,2,125,2.7690,2.6931,3.7022,3.8298,3
ewc,2,130,2.7690,2.6931,3.7022,3.8298,3
ewc,2,135,2.7690,2.6931,3.7022,3.8298,3
ewc,2,140,2.7690,2.6931,3.7022,3.8298,3
ewc,2,145,2.7690,2.6931,3.7022,3.8298,3
ewc,2,150,2.7690,2.6931,3.7022,3.8298,3
ewc,2,155,2.7690,2.6931,3.7022,3.8298,3
ewc,2,160,2.7690,2.6931,3.7022,3.8298,3
ewc,2,165,2.7690,2.6931,3.7022,3.8298,3
ewc,2,170,2.7690,2.6931,3.7022,3.8298,3
ewc,2,175,2.7690,2.6931,3.7022,3.8298,3
ewc,2,180,2.7690,2.6931,3.7022,3.8298,3
ewc,2,185,2.7690,2.6931,3.7022,3.8298,3
ewc,2,190,2.7690,2.6931,3.7022,3.8298,3
ewc,2,195,2.7690,2.6931,3.7022,3.8298,3
ewc,2,200,2.7690,2.6931,3.7022,3.8298,3
ewc,2,205,2.7690,2.6931,3.7022,3.8298,3
ewc,2,210,2.7690,2.6931,3.7022,3.8298,3
ewc,2,215,2.7690,2.6931,3.7022,3.8298,3
ewc,2,220,2.7690,2.6931,3.7022,3.8298,3
ewc,2,225,2.7690,2.6931,3.7022,3.8298,3
ewc,2,230,2.7690,2.6931,3.7022,3.8298,3
ewc,2,235,2.7690,2.6931,3.7022,3.8298,3
ewc,2,240,2.7690,2.6931,3.7022,3.8298,3
ewc,2,245,2.7690,2.6931,3.7022,3.8298,3
ewc,2,250,2.7690,2.6931,3.7022,3.8298,3
ewc,2,255,2.7690,2.6931,3.7022,3.8298,3
ewc,2,260,2.7690,2.6931,3.7022,3.8298,3
ewc,2,265,2.7690,2.6931,3.7022,3.8298,3
ewc,2,270,2.7690,2.6931,3.7022,3.8298,3
ewc,2,275,2.7690,2.6931,3.7022,3.8298,3
ewc,2,280,2.7690,2.6931,3.7022,3.8298,3
ewc,2,285,2.7690,2.6931,3.7022,3.8298,3
ewc,2,290,2.7690,2.6931,3.7022,3.8298,3
ewc,2,295,2.7690,2.6931,3.7022,3.8298,3
ewc,3,0,1.1521,0.9936,1.3257,3.8298,18
ewc,3,5,1.1267,1.0121,1.3376,3.8298,18
ewc,3,10,1.1412,1.0161,1.3569,3.8298,18
ewc,3,15,1.1558,1.0354,1.3531,3.8298,18
ewc,3,20,1.1824,1.1104,1.3684,3.8298,18
ewc,3,25,1.2396,1.1694,1.3941,3.8298,18
ewc,3,30,1.2719,1.1642,1.3904,3.8298,18
ewc,3,35,1.2837,1.1290,1.4025,3.8298,18
ewc,3,40,1.2883,1.0835,1.6063,3.8298,18
ewc,3,45,1.4970,1.1420,1.8924,3.8298,18
ewc,3,50,1.6744,1.3560,1.9519,3.8298,18
ewc,3,55,1.7779,1.5833,2.0186,3.8298,18
ewc,3,60,1.9830,1.6659,2.1812,3.8298,18
ewc,3,65,2.1840,1.7715,2.5838,3.8298,18
ewc,3,70,2.1489,1.9633,2.6406,3.8298,18
ewc,3,75,2.2327,1.9021,2.8691,3.8298,18
ewc,3,80,2.1705,1.7462,2.9438,3.8298,18
ewc,3,85,2.3833,1.7717,3.0505,3.8298,18
ewc,3,90,2.4292,1.8772,3.2180,3.8298,18
ewc,3,95,2.4995,1.9063,3.0515,3.8298,18
ewc,3,100,2.1903,1.9012,3.0246,3.8298,18
ewc,3,105,2.2864,1.9449,3.0084,3.8298,18
ewc,3,110,2.4319,1.9261,2.8896,3.8298,18
ewc,3,115,2.4127,1.9261,2.7092,3.8298,18
